Date,Time,Consumption,Wind,Solar
2007-03-15,22:34:01.310990,1436.134,,
2007-03-16,23:34:01.310990,1443.6559999999995,,
2007-03-17,00:34:01.310990,1322.749,,
2007-03-18,01:34:01.310990,1245.265,,
2007-03-19,02:34:01.310990,1489.7949999999996,,
2007-03-20,03:34:01.310990,1486.9519999999998,,
2007-03-21,04:34:01.310990,1510.379,,
2007-03-22,05:34:01.310990,1542.1089999999997,,
2007-03-23,06:34:01.310990,1517.5289999999995,,
2007-03-24,07:34:01.310990,1335.889,,
2007-03-25,08:34:01.310990,1157.5120000000002,,
2007-03-26,09:34:01.310990,1439.055,,
2007-03-27,10:34:01.310990,1442.051,,
2007-03-28,11:34:01.310990,1442.5230000000004,,
2007-03-29,12:34:01.310990,1453.7489999999998,,
2007-03-30,13:34:01.310990,1414.988,,
2007-03-31,14:34:01.310990,1232.395,,
2007-04-01,15:34:01.310990,1116.685,,
2007-04-02,16:34:01.310990,1394.731,,
2007-04-03,17:34:01.310990,1447.2900000000002,,
2007-04-04,18:34:01.310990,1434.4550000000002,,
2007-04-05,19:34:01.310990,1438.0469999999998,,
2007-04-06,20:34:01.310990,1108.93,,
2007-04-07,21:34:01.310990,1119.2979999999998,,
2007-04-08,22:34:01.310990,1005.062,,
2007-04-09,23:34:01.310990,1051.4089999999997,,
2007-04-10,00:34:01.310990,1392.855,,
2007-04-11,01:34:01.310990,1406.476,,
2007-04-12,02:34:01.310990,1390.1190000000004,,
2007-04-13,03:34:01.310990,1374.9830000000002,,
2007-04-14,04:34:01.310990,1172.1799999999998,,
2007-04-15,05:34:01.310990,1046.702,,
2007-04-16,06:34:01.310990,1363.121,,
2007-04-17,07:34:01.310990,1385.3149999999998,,
2007-04-18,08:34:01.310990,1410.4509999999998,,
2007-04-19,09:34:01.310990,1428.7510000000002,,
2007-04-20,10:34:01.310990,1391.9489999999998,,
2007-04-21,11:34:01.310990,1164.1530000000002,,
2007-04-22,12:34:01.310990,1043.9979999999998,,
2007-04-23,13:34:01.310990,1367.167,,
2007-04-24,14:34:01.310990,1392.6459999999995,,
2007-04-25,15:34:01.310990,1389.022,,
2007-04-26,16:34:01.310990,1381.7409999999998,,
2007-04-27,17:34:01.310990,1362.963,,
2007-04-28,18:34:01.310990,1165.491,,
2007-04-29,19:34:01.310990,1036.271,,
2007-04-30,20:34:01.310990,1221.7340000000002,,
2007-05-01,21:34:01.310990,981.179,,
2007-05-02,22:34:01.310990,1323.9400000000005,,
2007-05-03,23:34:01.310990,1374.726,,
2007-05-04,00:34:01.310990,1363.1809999999998,,
2007-05-05,01:34:01.310990,1157.579,,
2007-05-06,02:34:01.310990,1033.4050000000002,,
2007-05-07,03:34:01.310990,1389.3960000000004,,
2007-05-08,04:34:01.310990,1422.0310000000002,,
2007-05-09,05:34:01.310990,1434.6239999999998,,
2007-05-10,06:34:01.310990,1413.3840000000002,,
2007-05-11,07:34:01.310990,1414.225,,
2007-05-12,08:34:01.310990,1183.749,,
2007-05-13,09:34:01.310990,1058.64,,
2007-05-14,10:34:01.310990,1393.6189999999997,,
2007-05-15,11:34:01.310990,1394.495,,
2007-05-16,12:34:01.310990,1380.842,,
2007-05-17,13:34:01.310990,1086.609,,
2007-05-18,14:34:01.310990,1210.026,,
2007-05-19,15:34:01.310990,1105.205,,
2007-05-20,16:34:01.310990,1020.5320000000002,,
2007-05-21,17:34:01.310990,1365.7229999999995,,
2007-05-22,18:34:01.310990,1387.172,,
2007-05-23,19:34:01.310990,1374.524,,
2007-05-24,20:34:01.310990,1381.4500000000005,,
2007-05-25,21:34:01.310990,1375.0749999999996,,
2007-05-26,22:34:01.310990,1143.336,,
2007-05-27,23:34:01.310990,972.9740000000002,,
2007-05-28,00:34:01.310990,1010.2560000000002,,
2007-05-29,01:34:01.310990,1368.0660000000005,,
2007-05-30,02:34:01.310990,1356.5559999999998,,
2007-05-31,03:34:01.310990,1351.997,,
2007-06-01,04:34:01.310990,1349.4730000000002,,
2007-06-02,05:34:01.310990,1149.59,,
2007-06-03,06:34:01.310990,1029.2389999999998,,
2007-06-04,07:34:01.310990,1352.52,,
2007-06-05,08:34:01.310990,1368.802,,
2007-06-06,09:34:01.310990,1364.5310000000002,,
2007-06-07,10:34:01.310990,1163.9540000000002,,
2007-06-08,11:34:01.310990,1291.584,,
2007-06-09,12:34:01.310990,1145.4320000000002,,
2007-06-10,13:34:01.310990,1043.243,,
2007-06-11,14:34:01.310990,1382.614,,
2007-06-12,15:34:01.310990,1402.8220000000003,,
2007-06-13,16:34:01.310990,1392.6849999999995,,
2007-06-14,17:34:01.310990,1394.073,,
2007-06-15,18:34:01.310990,1393.974,,
2007-06-16,19:34:01.310990,1166.588,,
2007-06-17,20:34:01.310990,1044.366,,
2007-06-18,21:34:01.310990,1380.744,,
2007-06-19,22:34:01.310990,1395.691,,
2007-06-20,23:34:01.310990,1416.3180000000002,,
2007-06-21,00:34:01.310990,1405.108,,
2007-06-22,01:34:01.310990,1367.783,,
2007-06-23,02:34:01.310990,1147.4640000000002,,
2007-06-24,03:34:01.310990,1038.627,,
2007-06-25,04:34:01.310990,1377.469,,
2007-06-26,05:34:01.310990,1416.0169999999998,,
2007-06-27,06:34:01.310990,1439.9,,
2007-06-28,07:34:01.310990,1380.9810000000002,,
2007-06-29,08:34:01.310990,1361.3959999999995,,
2007-06-30,09:34:01.310990,1161.874,,
2007-07-01,10:34:01.310990,1045.5839999999998,,
2007-07-02,11:34:01.310990,1369.4709999999998,,
2007-07-03,12:34:01.310990,1375.39,,
2007-07-04,13:34:01.310990,1366.0849999999998,,
2007-07-05,14:34:01.310990,1386.8219999999997,,
2007-07-06,15:34:01.310990,1387.8319999999997,,
2007-07-07,16:34:01.310990,1183.696,,
2007-07-08,17:34:01.310990,1037.251,,
2007-07-09,18:34:01.310990,1346.0850000000005,,
2007-07-10,19:34:01.310990,1347.019,,
2007-07-11,20:34:01.310990,1365.205,,
2007-07-12,21:34:01.310990,1366.847,,
